Date,Open,High,Low,Close,Adj Close,Volume
2020-10-01 00:00:00-04:00,11554.9599609375,11606.73046875,11488.599609375,11583.2001953125,11583.2001953125,3978100000
2020-10-02 00:00:00-04:00,11328.849609375,11479.080078125,11225.169921875,11255.6904296875,11255.6904296875,3715090000
2020-10-05 00:00:00-04:00,11345.240234375,11512.0595703125,11336.0703125,11509.0595703125,11509.0595703125,3597940000
2020-10-06 00:00:00-04:00,11476.6796875,11536.419921875,11256.259765625,11291.26953125,11291.26953125,4360550000
2020-10-07 00:00:00-04:00,11412.650390625,11519.5498046875,11382.48046875,11503.1904296875,11503.1904296875,3891460000
2020-10-08 00:00:00-04:00,11576.4404296875,11582.7802734375,11510.240234375,11550.9404296875,11550.9404296875,3486530000
2020-10-09 00:00:00-04:00,11615.5703125,11727.599609375,11600.8603515625,11725.849609375,11725.849609375,3475620000
2020-10-12 00:00:00-04:00,11900.1201171875,12204.75,11880.23046875,12088.1103515625,12088.1103515625,3862990000
2020-10-13 00:00:00-04:00,12131.0703125,12187.7802734375,12032.75,12083.169921875,12083.169921875,3607730000
2020-10-14 00:00:00-04:00,12105.099609375,12159.2099609375,11913.5703125,11985.3603515625,11985.3603515625,3393010000
2020-10-15 00:00:00-04:00,11767.26953125,11928.6298828125,11765.490234375,11898.5703125,11898.5703125,3304490000
2020-10-16 00:00:00-04:00,11952.1201171875,12034.1298828125,11824.1396484375,11852.169921875,11852.169921875,3156270000
2020-10-19 00:00:00-04:00,11913.009765625,11962.4697265625,11606.48046875,11634.349609375,11634.349609375,3455430000
2020-10-20 00:00:00-04:00,11679.080078125,11801.400390625,11613.759765625,11677.83984375,11677.83984375,3483200000
2020-10-21 00:00:00-04:00,11686.1904296875,11789.4599609375,11646.48046875,11665.3701171875,11665.3701171875,3445520000
2020-10-22 00:00:00-04:00,11712.6396484375,11739.2197265625,11529.73046875,11662.91015625,11662.91015625,3414590000
2020-10-23 00:00:00-04:00,11680.73046875,11693.009765625,11569.08984375,11692.5703125,11692.5703125,3134240000
2020-10-26 00:00:00-04:00,11584.169921875,11708.080078125,11360.73046875,11504.51953125,11504.51953125,3186950000
2020-10-27 00:00:00-04:00,11560.8603515625,11633.490234375,11503.099609375,11598.9501953125,11598.9501953125,3079530000
2020-10-28 00:00:00-04:00,11400.48046875,11426.099609375,11136.099609375,11142.759765625,11142.759765625,3912580000
2020-10-29 00:00:00-04:00,11214.330078125,11467.3701171875,11187.080078125,11350.740234375,11350.740234375,3222460000
2020-10-30 00:00:00-04:00,11265.7001953125,11293.759765625,10960.01953125,11052.9501953125,11052.9501953125,3662840000
2020-11-02 00:00:00-05:00,11152.48046875,11222.51953125,10957.1103515625,11084.759765625,11084.759765625,3196720000
2020-11-03 00:00:00-05:00,11155.849609375,11356.080078125,11115.5498046875,11279.91015625,11279.91015625,3190710000
2020-11-04 00:00:00-05:00,11627.759765625,11846.4599609375,11564.91015625,11777.01953125,11777.01953125,3606820000
2020-11-05 00:00:00-05:00,12021.76953125,12117.0400390625,11977.0703125,12078.0703125,12078.0703125,3823380000
2020-11-06 00:00:00-05:00,12044.2900390625,12116.91015625,11895.5,12091.349609375,12091.349609375,4156030000
2020-11-09 00:00:00-05:00,12194.7099609375,12268.66015625,11818.240234375,11830.3896484375,11830.3896484375,5823620000
2020-11-10 00:00:00-05:00,11704.4599609375,11761.9501953125,11512.4599609375,11624.2900390625,11624.2900390625,4712950000
